"underspecified sentence","control sentence","type"
"""As much as possible, the system is to take advantage of parallel operation to improve efficiency. The Telescope Control System should be capable of detecting and invoking parallel operation as it is responsible for control of all of the telescope and enclosure subsystems.""","The Telescope Control System must be designed to leverage parallel operation for efficiency improvements, and it should be capable of autonomously detecting and initiating parallel operations, as it manages all telescope and enclosure subsystems.","missing information"
"""Test procedure methods have to be defined in the Software Test Plan (STP), while test plans shall be written for all individual software packages and modules comprising the Gemini 8m Telescopes software.""","The Software Test Plan (STP) must include the definition of test procedure methods. Test plans must be written for each individual software package and module within the Gemini 8m Telescopes software.","lexical ambiguity"
"""Apart from the component and integration test procedures, a formal release system should exist at package and module level, which should be checkable on-line by the operational procedures for consistency. Every system must thus be able to supply its current version upon request.""","A formal release system, checkable online, must exist at both package and module levels. This system should be capable of providing the current version of each system upon request.","semantic imprecision"
"""All software is to be developed using typical modularization and standardization techniques. In particular, each module's environment is strictly defined by its interface to other components. No module can rely upon information outside of this interface. Module selection should be done in logical fashion to minimize the size of the interfaces between modules.""","Modules in the software must be developed using standard modularization techniques, with each module's environment defined by its interface with other components. No module should rely on information outside of its interface, and module selection should be logical to minimize the size of the interfaces between modules.","missing information"
"""The on-line databases can be considered part of this interface, but are only accessible reliability and availability.""","The online databases are part of the interface and are accessible only with reliability and availability.","semantic imprecision"
"""A measure of fault rates should be done during commissioning to establish baseline rates for system reliability monitoring.""","During commissioning, establish baseline fault rates for system reliability monitoring.","missing information"
"""There are to be recovery procedures to restart after error failure. See section Section 3.2.5 on page 3 - 5.""","The software must include recovery procedures for restarting after an error failure. These procedures are detailed in Section 3.2.5 on pages 3-5.","missing information"
"""During science planning, there should be validity and feasibility checks to help ensure effective and efficient use of the telescope. Where appropriate, these checks should also be performed during operation.""","The science planning process must include validity and feasibility checks to ensure efficient and effective telescope usage. These checks should also be implemented during telescope operation when necessary.","missing information"
"""The system should be constantly monitoring active subsystems to be sure they are operating correctly before sending commands to each subsystem. This monitoring should continue on inactive subsystems.""","The system should continuously monitor both active and inactive subsystems to ensure their proper operation before issuing commands to each subsystem.","semantic imprecision"
"""All telescope and instrument parameters are kept in an on line database to permit easy implementation of table-driven applications. The interface between software control packages is normally done via interface calls to the on-line database.""","The online database stores all telescope and instrument parameters for easy implementation of table-driven applications. The software control packages interact with each other primarily through interface calls to this online database.","semantic imprecision"
"""A fundamental criteria of Gemini telescope operation is that it support a full implementation of remote operations. This includes remote observing, remote control of telescope, enclosure, and instruments, multipoint monitoring, remote monitoring, remote access for testing, development, diagnostics, and maintenance.""","The Gemini telescope must fully support remote operations, encompassing remote observing, control of the telescope, enclosure, and instruments, multipoint monitoring, remote monitoring, remote access for testing, development, diagnostics, and maintenance.","semantic imprecision"
"""It is expected that all operational capability found in on site operations is extended to remote operations, with some degradation in performance resulting from WAN bandwidth considerations. This means the video data signals must be encoded digitally and transferred via the WAN to remote sites.""","The system must digitally encode video data signals and transmit them over the WAN to enable remote operations, with a potential decrease in performance due to WAN bandwidth limitations.","semantic imprecision"
"""There must be some form of security to control access to system features, possibly restricting some operations to specific remote sites (e.g. Hale Pohaku or Hilo in Hawaii, Cerro Tololo in Chile, etc.)""","The system must implement a security mechanism to regulate access to its features, with the ability to restrict certain operations to specific remote locations such as Hale Pohaku, Hilo in Hawaii, Cerro Tololo in Chile, and so on.","semantic imprecision"
"""Input data are all data that are predefined at operation start. This includes catalogs, calibrations and flat fields available in archives, etc.""","The input data consist of all predefined data that are available at the start of an operation, such as catalogs, calibrations, and flat fields stored in archives.","semantic imprecision"
"""Observing commands (whether entered interactively or via the Sequencer) are input data that provide information on the course of operation and trigger events.""","Commands, whether entered interactively or through the Sequencer, serve as input data that specify the operation's progress and initiate events.","lexical ambiguity"
"""One criteria is that sufficient information be recorded during an observation to recreate the sequence of events that occurred during the observation. This requires that all input and output data be logged appropriately.""","During an observation, all input and output data must be logged accurately to allow for the recreation of the sequence of events that occurred.","semantic imprecision"
"""Given an initial set of configuration parameters, the Gemini system operates via a sequence of commands. This operation is complemented by using previously stored mdata, calibrations, and star catalogs.""","The Gemini system, provided with an initial set of configuration parameters, performs its operation through a series of commands, utilizing previously saved mdata, calibrations, and star catalogs.","semantic imprecision"
"""Wherever possible, Gemini software is to take advantage of existing software. However, all existing software is to be evaluated in terms of the specifications given here. This helps reduce life-cycle costs and maintenance efforts.""","Gemini software should utilize existing software whenever feasible. All existing software must be assessed based on the provided specifications to minimize life-cycle costs and maintenance requirements.","semantic imprecision"
