"underspecified sentence","control sentence","type"
"""The TCS shall allow the operator to enter as well as review mission plan parameters, including AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if applicable to the selected AV), and AV loiter patterns.""","The system must enable the operator to input and inspect mission plan parameters, such as AV flight parameters, payload control parameters, data link control parameters, AV VCR control parameters (if applicable), and AV loiter patterns.","semantic imprecision"
"""The TCS shall provide the capability to enter system configuration characteristics in the mission plan, to include selected AV type, AV identification number, selected payload type, ground control authorization information, and required communications pre-set for data links, tactical communications, and C4I data dissemination""","The system shall allow the user to input system configuration details into the mission plan, such as the selected autonomous vehicle (AV) type, AV identification number, selected payload type, ground control authorization information, and pre-set communication configurations for data links, tactical communications, and C4I data dissemination.","semantic imprecision"
"""The TCS shall provide the system functionality necessary to upload a flight route plan and payload plan (if applicable) to the AV via the selected system data link as well as direct ground connection.""","The system must allow for the upload of a flight route plan and, if applicable, a payload plan to the aircraft via the chosen data link or direct ground connection.","lexical ambiguity"
"""The TCS shall automatically check the validity of the intended mission plan prior to being uploaded including altitude constraints, payload constraints, data link range constraints, airspace restrictions, fuel limitations, threat constraints, data link terrain masking effects, and Loss of Link (LOL) Plan.""","The TCS must validate the mission plan for altitude, payload, data link range, airspace, fuel, threat, data link terrain masking effects, and Loss of Link (LOL) Plan compliance before uploading it.","semantic imprecision"
"""The TCS shall notify the operator of all discrepancies found during the mission plan check as well as indicate successful completion of the mission plan check.""","The TCS must inform the operator of any discrepancies discovered during the mission plan check and also signal the successful completion of the mission plan check.","semantic imprecision"
"""The TCS shall provide the capability to override validation faults after the fault is acknowledged by the operator.""","The system must allow the operator to override validation errors after the operator has acknowledged the errors.","semantic imprecision"
"""The TCS shall provide the capability to print waypoint data in alphanumeric format.""","The system must be able to print waypoint data in a format consisting of letters and numbers.","lexical ambiguity"
"""The TCS shall provide the capability to display mission waypoints and flight path graphically.""","The software must display mission waypoints and the flight path graphically.","semantic imprecision"
"""The TCS shall present to the operator the estimated time of arrival and fuel status at each programmed waypoint of the proposed mission plan.""","The Time-Critical System (TCS) must display the estimated time of arrival and fuel status at each predefined waypoint in the proposed mission plan to the operator.","semantic imprecision"
"""At every waypoint and every 5 minutes, the TCS shall compute the AV's flight range based on remaining fuel.""","The Traffic Control System (TCS) must calculate the Aircraft Vehicle's (AV) flight range at every waypoint and every 5 minutes, using the remaining fuel.","lexical ambiguity"
"""The algorithmic accuracy of all flight planning calculations shall not deviate by more than 10% when compared with a mission flown by a validated 6 degree-of-freedom air vehicle simulator.""","The flight planning calculations must not differ by more than 10% from those of a validated 6-degree-of-freedom air vehicle simulator in terms of algorithmic accuracy.","semantic imprecision"
"""The flight route plan, as a minimum, shall provide the necessary AV commands to autonomously execute a programmed flight and return to a designated recovery area""","The flight route plan must include AV commands to autonomously execute a pre-programmed flight and return to a designated recovery area.","semantic imprecision"
"""The TCS shall provide the operator with an interactive graphics and map based flight route planning capability.""","The software (TCS) must offer an interactive graphics and map-based flight route planning feature for the operator's use.","lexical ambiguity"
"""The TCS shall provide the capability to create waypoints that define the desired flight path, define AV Altitude and Airspeed associated with the waypoint""","The software must allow users to create waypoints that specify the flight path, and assign associated altitude and airspeed to each waypoint.","semantic imprecision"
