"underspecified sentence","control sentence","type"
"""Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.""","All access to cases and related activities, including the manipulation of documents or data, must be recorded in the audit trail for legal admissibility and data recovery purposes.","semantic imprecision"
"""All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them. Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.""","Error messages generated by the System should be understandable and actionable, providing explanatory text and suggestions for user response.","semantic imprecision"
"""The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.""","The System should use a consistent user interface design, with a maximum of a few variations, to ensure a familiar and standardized appearance for the application.","semantic imprecision"
"""The System must be able to display several entities (cases, suspects) simultaneously.""","The System shall concurrently display multiple entities, including cases and suspects.","lexical ambiguity"
"""The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance). Such configurations must be saved in the user profile.""","The software should allow users to customize the interfaces, including adjusting the displayed columns, moving, resizing, and modifying the appearance of tables. These customizations should be saved in the user's profile.","semantic imprecision"
"""The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines.""","The user interface of the System must be compatible with specialist software and adhere to appropriate interface guidelines for users with special needs.","semantic imprecision"
"""The System must provide End User and Administrator functions which are easy to use and intuitive throughout.""","The system shall offer both end-user and administrator interfaces that are user-friendly and intuitive.","semantic imprecision"
"""Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).""","System transactions that are frequently executed should be optimized to be completed with a minimal number of user interactions (e.g. mouse clicks).","lexical ambiguity"
"""The user interfaces should be designed to make them user-intuitive.""","The user interfaces should be designed to be user-friendly.","semantic imprecision"
"""The user interfaces of the system should comply with Standard ISO 9241.""","The system's user interfaces must adhere to ISO 9241 standards.","semantic imprecision"
"""The System must provide adequate response times for commonly performed functions under both standard and peak conditions.""","The system should ensure that frequently used functions have acceptable response times under both normal and high-traffic conditions.","lexical ambiguity"
"""The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system. In this context, performing a search means returning a result list. It does not include retrieving the records themselves.""","The system should return a result list for a simple search within 5-8 seconds and for an advanced search within 10-15 seconds, regardless of the system's storage capacity or the number of cases it contains. The search operation does not include retrieving the records themselves.","semantic imprecision"
"""The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for rapid retrieval of frequently-used cases, on the understanding that frequency of use is typically correlated with recent use.""","The system should retrieve and display a recently accessed case within 5-8 seconds, regardless of the system's storage capacity or the number of cases in the system, with the assumption that frequently used cases are typically those accessed within the previous 2 months.","semantic imprecision"
"""The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system. This requirement is intended to allow for cases where cases used infrequently are stored on slower media than more active records.""","The system should retrieve and display the case that has not been accessed in the past 2 months within 20 seconds, regardless of the storage media or the total number of cases in the system.","semantic imprecision"
"""The System be scaleable and must not have any features which would preclude use xin small or large police stations, with varying numbers of cases handled.""","The system must be scalable to accommodate both small and large police stations, regardless of the number of cases they handle.","semantic imprecision"
"""The system should support multilingual interface.""","The system must provide a user interface that supports multiple languages.","lexical ambiguity"
"""The system should be designed in manner that operational data is not lost in case of any failure of equipment or communication network.""","The system must ensure data persistence in the event of equipment or communication network failure.","semantic imprecision"
"""The system should work even in an offline mode with the critical functionality.""","The system must function with its essential features when operating offline.","semantic imprecision"
"""The system should be designed to have satisfactory performance even in Police Stations connected on low-bandwidth.""","The system must perform satisfactorily in Police Stations with low-bandwidth internet connections.","semantic imprecision"
"""The system should be implemented using Service Oriented Architecture (SOA) and have a modular design.""","The system must be designed using a Service Oriented Architecture (SOA) and should have a modular structure.","lexical ambiguity"
"""The system should be developed on Open Standards.""","The system must be developed using open standards.","lexical ambiguity"
"""The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user.""","The system must utilize a shared User Access and Authentication Service to implement Single-Sign on for users.","lexical ambiguity"
"""The system should be developed for a centralized deployment and maintenance.""","The system must be designed for centralized deployment and management.","semantic imprecision"
"""The system should be developed to be deployed in a 3-tier datacenter architecture.""","The software must be designed for deployment in a three-tier datacenter structure.","lexical ambiguity"
"""The system should be designed to have a n-tier architecture with the presentation logic separated from the business logic that is again separated from the data-access logic.""","The system design should incorporate an n-tier architecture, with the presentation logic, business logic, and data-access logic each being distinct and separate from one another.","lexical ambiguity"
"""The system should be extensible to provide access to the interfaces through PDA’s and mobile data terminals.""","The system must be designed to allow access to its interfaces via Personal Digital Assistants (PDAs) and mobile data terminals.","lexical ambiguity"
"""The system should adopt standardized formats and common metadata elements.""","The system must use standardized formats and incorporate common metadata elements.","lexical ambiguity"
"""The system should be designed for access through browser-based systems and must impose minimal requirements on the client device.""","The system design must support access via web browsers, and it should impose minimal hardware and software requirements on the client device.","semantic imprecision"
"""The system must support multiple types of communication services for remote access.""","The system shall provide support for various remote access communication services.","lexical ambiguity"
"""The system should have capability to support public access to a subset of data and functionality.""","The system must provide access to a specific set of data and functions for public use.","semantic imprecision"
"""The system should support multi-tier authentication where required.""","The system must implement multi-tier authentication when necessary.","semantic imprecision"
"""The system should support SSL encrypted connections.""","The system must establish secure connections using Secure Sockets Layer (SSL).","lexical ambiguity"
"""The system should support secure virtual private network connections.""","The system must establish and maintain secure Virtual Private Network (VPN) connections.","lexical ambiguity"
"""The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL).""","The system must employ HTTPS as its communication protocol, which is HTTP transmitted over a secure SSL connection.","semantic imprecision"
"""The system should run on multiple browsers.""","The software must be compatible with multiple web browsers.","semantic imprecision"
"""The system should support selective encryption of the stored data.""","The system must provide an option to encrypt specific data items when storing them.","lexical ambiguity"
"""The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures.""","The system must implement Secure Sockets Layer (SSL) for secure data transmission and employ two-way digital signatures for authentication.","lexical ambiguity"
